,resp.id,ques,alt,Price,Brand,Type of Wine,Percentage of Alcohol,Aging time of Wine,Age,Sex,Employment status,Education,Ethnicity,Social Platforms,Physical Activities,Choice
156,6,5,Option 1,Value(3€-10€),Ferrari,Rose wine,7 %,1 year ,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,1
157,6,5,Option 2,Luxury(50€-100€),Ferrari,White wine,7 %,2 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
158,6,5,Option 3,Luxury(50€-100€),Mezzacorona,Sparkling wine,12 %,4 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
159,6,5,Option 4,Popular(10€-15€),Cantina Toblino,Sparkling wine,18 %,4 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
160,6,6,Option 1,Luxury(50€-100€),Mezzacorona,Sparkling wine,12 %,2 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
161,6,6,Option 2,Value(3€-10€),Ferrari,Red wine,7 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
162,6,6,Option 3,Value(3€-10€),Ferrari,Sparkling wine,5.5 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,1
163,6,6,Option 4,Value(3€-10€),Ferrari,Sparkling wine,7 %,2 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
164,6,7,Option 1,Popular(10€-15€),Mezzacorona,Red wine,12 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
165,6,7,Option 2,Premium(15€-30€),Cavit,Sparkling wine,5.5 %,1 year ,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
166,6,7,Option 3,Premium(15€-30€),Cavit,Sparkling wine,7 %,1 year ,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,1
167,6,7,Option 4,Value(3€-10€),Cavit,Rose wine,12 %,1 year ,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
168,7,1,Option 1,Value(3€-10€),Cantina Toblino,Rose wine,18 %,2 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
169,7,1,Option 2,Luxury(50€-100€),Ferrari,Rose wine,12 %,5 years,1,Female,Student,Bachelors,Italian,Instagram,Low,1
170,7,1,Option 3,Value(3€-10€),Ferrari,Red wine,5.5 %,2 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
171,7,1,Option 4,Value(3€-10€),Cavit,Sparkling wine,5.5 %,4 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
172,7,2,Option 1,Luxury(50€-100€),Cantina Toblino,Sparkling wine,7 %,4 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
173,7,2,Option 2,Popular(10€-15€),Cantina Toblino,Sparkling wine,7 %,1 year ,1,Female,Student,Bachelors,Italian,Instagram,Low,0
174,7,2,Option 3,Popular(10€-15€),Mezzacorona,Red wine,12 %,1 year ,1,Female,Student,Bachelors,Italian,Instagram,Low,0
175,7,2,Option 4,Premium(15€-30€),Ferrari,White wine,5.5 %,3 years,1,Female,Student,Bachelors,Italian,Instagram,Low,1
176,7,3,Option 1,Luxury(50€-100€),Mezzacorona,Sparkling wine,18 %,3 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
177,7,3,Option 2,Popular(10€-15€),Cantina Toblino,Rose wine,7 %,3 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
178,7,3,Option 3,Value(3€-10€),Ferrari,Rose wine,18 %,4 years,1,Female,Student,Bachelors,Italian,Instagram,Low,1
179,7,3,Option 4,Popular(10€-15€),Cavit,Red wine,18 %,3 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
180,7,4,Option 1,Popular(10€-15€),Ferrari,Sparkling wine,5.5 %,4 years,1,Female,Student,Bachelors,Italian,Instagram,Low,1
181,7,4,Option 2,Luxury(50€-100€),Mezzacorona,Sparkling wine,7 %,5 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
182,7,4,Option 3,Value(3€-10€),Mezzacorona,Red wine,18 %,3 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
183,7,4,Option 4,Popular(10€-15€),Cantina Toblino,Red wine,12 %,4 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
184,7,5,Option 1,Luxury(50€-100€),Ferrari,Red wine,5.5 %,4 years,1,Female,Student,Bachelors,Italian,Instagram,Low,0
